league_name,league_url,logo_name
413 Battle League,UCuFNLAQ2XH9V8uj72unjaQQ,413
775 Battles,UCBrExMSE1IcZAlGjvTUa3Yg
7 Cities Sharks,UCcTUC4ljoX-uOrqBhcNpT4g
A&B,UCXUSv3OoXb5BEd8IwkaFIcw
AHAT,UCKxOb-Q_Cq9bKXqJRDBxGcg,ahat
AHAT Next,UC_zWAcy2dNAUt3BmjVb7MkA
Alpha League Rap Battles,UCugBaKd7vfiNlN-UOQS5g-Q
Atlanta Battle Rap,UCJ5EqEJqqO28gcVBZywgoFA
Battleground Virginia,UCZ0fDjWfXRv3XDb4SlN5aMw
Bar4Bar Rap Battles,UCLmg9Rbv9rDXqs0XUAoHqcQ
Barbarian Battle Grounds,UCOGhYuQ5uY1AfygdQc-O-hQ
BARburian Arena,UCCkRBN9r3nhfQ3mbUQMDSZQ
Bar Wars Rap Battles,UC8kAnXJh97EUjE2qUmExGiw
Battle Born MCs,UCBxkNi6H6yTo_rGRIMO1fwg
BearArmz,UCgyu3ReOEELPLsV-U9cSt_A
BeastMode Battles,UCd8FFS4Lw-_cGiYf2bEDdbQ
Black Ice Cartel,UCzgvDUEEF9bnHDlfZE4HHMQ
Bless Da MiCDvd,UCjwQsyi02w-fNWLtOnHvTRQ
Block City,UCM_fPr7wzc5nnhH6s_TNOZA
Body Bag Battle League,UC_irMF_F9uXdaGqaYPc3p8g
Body Bag Battles,UCB2-mDjMQ4vGJ614Rxgplvw
BossChick TV,UCRz3xe8ZiWOgf0Jbd_fMn-A
BOTZ Battles,UCROMMVe8qHHjL0wV5YjpUCQ,botz
Bring Ya Barz Battle League,UCBifUsIjaXtMh8wSL6VxdRg
Brooklyn Mic Club,UC5D9omV2xLMDZ1BG1QksmDQ
Bull City Battle League,UCkYwX9lIFGhc_Hin1nZUUjA
BullPen Battle League,UCY-ME2gHi5DvKw4iMnOIziA
Capital Battlegrounds,UCYyNTMTlorryJoADoUT7IlA,capitalbattlegrounds
Carolina Premier Battle League,UCs70FzF8AtYBqI-eAQYZszQ
Casual Conflicts,UCHCV9EnNi5t8NnBSIaGLxyg
Chrome23,UCY7TehInbcAtCA2SCXWO9qw,chrome23
Colosseum battles,UC4oMyL7zSZq3hwsryzUlinA
Coloradorap,UCHQDMqOwbaRATdrBTnQ0Maw
Country Ground Battle League,UCAMUFsgzl2QGg2nBeM6uTzA
Cypher City TV,UCnkslSYclNchu8UVrAXtEYw
Daily Duels,UCxdSzY4xQZGGOkoDVE-Pg8w
Dade County Battle League,UCNnh3r3CX30vQbcQ73Ib7OQ
Danger Zone Battle League,UCB4NIg54jdUmOztDbzlFINQ
DeathWish Battle League,UCfSY887ROo9R_BAU7ocSTjA
DFW Battle League,UCTZpzBbPAHmXOgwGPKVetJw
Don’t Flop Entertainment, UCtk06jK3PvU6pZvrj68ROfQ,df
Dope16,UC85XznCjkuHdRKjvmYhnE1g
Enter The Dungeon,UC-qsyI4VIfc1UYCzQG4XA7A
Empire Battle League,UCgkWwnEaMyalPC5i7r0wbWw
ENJ Battlegrounds,UCzOGBS3tyLGdDQyoWrIE2Eg
Face Off Battle League,UCeUz8hBZ59Hk_dYnzb3-tKA,faceoff
Film On,UCuYmcw8BtUKbg1Psg0NnuQg
FlipTop Battles,UCBdHwFIE4AJWSa3Wxdu7bAQ
Gates Of The Garden,UC5Rb-FyOHCHfaSiJijKH9Lg,gates
Go-rilla Warfare,UCE4gHj-DgE5liurkxj13hgQ
Grind Time Now,UCkYQyvc_i9hXEo4xic9Hh2g,gt
Ground Zero Battles,UCGA3SEYffk1E7_ZS25wU1oA,gz
GTX Battles,UC3vpU_ujC2Z7U3nfJiY49eA
Head Hunters TV,UC7sxm0zxZKNgjY4tPKUGtYw
Hitlist Battle League,UCKWvSL-Zio_yfuHQ61smgng
Home Grown Battleground,UCsHRAjAYfje7EChiPKitOSw
HoneyCombHideOut,UChPVbWEWgBh_6Z0XLglb-eQ
Houston Bar Code,UCOJRuBUBDwc7fh7J5kVtS8Q
iBattle,UCcn1FcR6MoWhnZ0gfH2dVJw,ibattle
IGRIND,UCLgP_VviaC_ITpwMZe1rZCw
Iron Mouth Battle League,UCKa2EFGVNn_KuK
King of the Dot,UCIuFtIO8i_XqA8lM7q4B1FQ,kotd
Krack Liberty Battle League,UCrTCRBzphqHeEN9Vl8q-xcQ
LA BattleGroundz,UCKdseDSblY3-gRUBQzIKGUw
League Of Champions,UC3HYA5loiAwh0c1GFLHVaRw
League of Championship Kulture,UCOEp6_iP74RCygwxhYsyOCg
Live From The Block,UC5xvldGaG4OnW8GtiEMqi9Q
Massacre Battle Association,UCWUZt2ooBRYQ4Sjai5Jhwuw
MeleeTV,UCwDdVrPE0D9gz1r6ZPKxDig
MC War,UCG_88UMODM9LyXNlq4MKPCA
Mic Murdaraz TV,UCOSF4ww2HLNEc47ykPDlCOg
Midnight Madness,UCZPfVYriqJlCLEtGvOYsIAA
No Chill Battle League,UCuTr-aq4aQCXORqh3r62zEg
No Coast Raps,UCe4z-hnL9JWGiIwmY3BvjkA,nocoast
Our Society Battle League,UCCWdDLwVbTy6Jf67rIvWIww,osbl
Pit Fights Battle League,UCfce_AEtWD_qb5RnXDl4OXg,pitfights
Power & Respect Battles,UCpH_PyozrZMSP4DozNeDyiQ
Premier Rap Battle League,UCI2iKffXJgpXVMOQ52QFdiw
Queen of the Ring,UCk-nxzyAUCJoeWyPXaDsbFw,qotr
Quite Room,UCvWnBcwthZ4oEw2lLg8Ux6A
Rain Set,UCxo5LakIKELI18ZhNqYOAng
Rap Battle America,UCNa3ly7L-Sv8Psc4RlQxVxg
Rap Battle Central,UC68YxuoJ2cTofkiOlVkpofw
Rare Breed Ent,UCVsYff7Yb4k_5v5iW5KouHA,rbe
Scheme Street,UC0wWfyEujfNLwD6jFVDL0Bg
Southern Elite Battle League TV,UCaPOlUgh7i1UHd0eCXEjkAQ
Shots Fired Battle League,UCKNI-azGi0HPo072EwKwMbA
Showtime Battle Arena,UCkb4L-6YsUhocxB-WFwmQ2A,sba
Southpaw Battle Coalition,UCSlZ5E1A-qpgqeWw3zrDuiQ
Spice Mans Fight Klub,UC0IDqeO6AECTHNF8rbBmjXQ
SpitDatHeat,UCQaTlvRgRjJeDXJ4aDo0F8A
Spittaz Battle League,UClGhf-Y6h-bRbgP7w6tp5tQ
Step Your Ink Game Up,UCVkWOaOToelE5lgvPDkvVsQ
Stl Street Report,UCUWf2qbh7h1ziR6UROrshGQ
Street Arena,UC-dfo0trRb0f-o7SWneGufw
Street Status,UCDh0-DSsvjy55dbMzBqSw4Q
SupaNova Battles,UCbYnWQ_JoDNIDTX06gmuVUQ,supanova
TakeOva Battle League,UCcZq0PciBpF5mPzX5l6GCiA
Texas Battle League,UCGFw-avtjIXoXrK7d9fqY1w
The Battle Academy,UC2X_ZwajyM-v4awtHNdIx1w
The Colosseum,UCr2KT-tGXIKY-0hElP23hlQ
The Connects,UCwSzRoV3Ay_UG2StASpfVXg
The Gauntlet Battles,UC14kr8fs3o7hZanJ6MTnrtw
The Grizz Exam,UC73iBZCjk1fPcQas2OnMitA
The Rap Committee,UCl7D7IzafgYxIAmf1pPboqQ
The Riot,UCTRs749bPj_Y7yIFCFZkhlw
Tourettes Without Regrets,UCtaLoeUhM4-eCA0ueTrlYwQ
The Trap NY,UCdqrhVaUa4LYL1Y8tSF8ZDA
The Trap NY Media,UCUO-TdkVfUq0mDAaZERS9fQ
The Zoo Battle League,UCJ3yTnKOBR5UwBJwvWth1_Q
Throne Room Battle League,UChALXFyrN6FkGHrDuntlwsQ
Time Is Money,UCpnWvWp9Mk0DEQTtUHchQ0A
Trap House Battles,UCwrJ-fSSybUlTp39gy1ulMw
UDubb Network Battle League,UC3psUl-IQCBboXS334JdDpA
Ultimate Rap League,UCflIAeM03JFL9ml03LwYF-g,url
Universal Battle Realm,UC745cMFqIZXoLMz_eUYuMDw
Underground Battle League,UCpElP-d-HH4NOLEelvJn_Vw
U.P Entertainment,UC5R66FJSCWC3ceS4ioGx62Q
Verbal Warzone Entertainment,UC_8tSVBGmUqrLlYADgrWDXQ
WarTown Battles,UC35dVzlUbGSam6f0cwDEKpA
WeGoHardTV,UCNwQrNlKTnXiUGgeBHbv5mw,wgh
West Coast Elites,UC_KW9j5znMo0M5MFLu5nsuA
World Battle League,UCjtbvzDA5a_rbA8O5Cr-weg
