league_name,league_url,logo_name
413 Battle League,UCuFNLAQ2XH9V8uj72unjaQQ,413
AHAT,UCKxOb-Q_Cq9bKXqJRDBxGcg,ahat
Battleground Virginia,UCZ0fDjWfXRv3XDb4SlN5aMw
Black Ice Cartel,UCzgvDUEEF9bnHDlfZE4HHMQ
BOTZ Battles,UCROMMVe8qHHjL0wV5YjpUCQ,botz
BeastMode Battles,UCd8FFS4Lw-_cGiYf2bEDdbQ
BullPen Battle League,UCY-ME2gHi5DvKw4iMnOIziA
Capital Battlegrounds,UCYyNTMTlorryJoADoUT7IlA,capitalbattlegrounds
Chrome23,UCY7TehInbcAtCA2SCXWO9qw,chrome23
Don’t Flop Entertainment, UCtk06jK3PvU6pZvrj68ROfQ,df
Face Off Battle League,UCeUz8hBZ59Hk_dYnzb3-tKA,faceoff
FlipTop Battles,UCBdHwFIE4AJWSa3Wxdu7bAQ
Gates Of The Garden,UC5Rb-FyOHCHfaSiJijKH9Lg,gates
Go-rilla Warfare,UCE4gHj-DgE5liurkxj13hgQ
Grind Time Now,UCkYQyvc_i9hXEo4xic9Hh2g,gt
Ground Zero Battles,UCGA3SEYffk1E7_ZS25wU1oA,gz
iBattle,UCcn1FcR6MoWhnZ0gfH2dVJw,ibattle
King of the Dot,UCIuFtIO8i_XqA8lM7q4B1FQ,kotd
League Of Champions,UC3HYA5loiAwh0c1GFLHVaRw
No Coast Raps,UCe4z-hnL9JWGiIwmY3BvjkA,nocoast
Our Society Battle League,UCCWdDLwVbTy6Jf67rIvWIww,osbl
Pit Fights Battle League,UCfce_AEtWD_qb5RnXDl4OXg,pitfights
Queen of the Ring,UCk-nxzyAUCJoeWyPXaDsbFw,qotr
Rare Breed Ent,UCVsYff7Yb4k_5v5iW5KouHA,rbe
Showtime Battle Arena,UCkb4L-6YsUhocxB-WFwmQ2A,sba
SpitDatHeat,UCQaTlvRgRjJeDXJ4aDo0F8A
SupaNova Battles,UCbYnWQ_JoDNIDTX06gmuVUQ,supanova
TakeOva Battle League,UCcZq0PciBpF5mPzX5l6GCiA
The Riot,UCTRs749bPj_Y7yIFCFZkhlw
The Trap NY,UCdqrhVaUa4LYL1Y8tSF8ZDA
The Zoo Battle League,UCJ3yTnKOBR5UwBJwvWth1_Q
UDubb Network Battle League,UC3psUl-IQCBboXS334JdDpA
Ultimate Rap League,UCflIAeM03JFL9ml03LwYF-g,url
WeGoHardTV,UCNwQrNlKTnXiUGgeBHbv5mw,wgh
